1,2,3,4
Region,Male,Female,Both Sexes
Jenin,5908,15298,21206
Tubas,141,485,626
Tulkarm,288,962,1250
Nablus,469,976,1445
Qalqilia,97,112,209
Salfit,12,16,28
Ramallah & Al Bira,215,260,475
Ariha & Al Aghwar,42,53,95
Al Quds,83,97,180
Beit Lahim,53,46,99
Hebron,105,85,190
North Gaza,20,11,31
Gaza,114,92,206
Deir Al balah,8,15,23
Khan Yunis,11,5,16
Rafah,13,20,33
1948 areas,697,984,1681
israel,539,744,1283
Other countries,10606,9530,20136
not stated,125,109,234
Total,19546,29900,49446
