Commit_ID,Commit_Developer,,Commit_Date,Day
967fee7,Abdullrahman ElHayek,update database,2019-01-22 14:51:54 +0200,
02e9d30,Abdullrahman ElHayek,update filesystem configuration,2019-01-22 14:35:36 +0200,
f82c4b9,Abdullrahman ElHayek,update database structure backup,2019-01-22 14:12:56 +0200,
6da52a5,Morad Taleeb,Fixed social login items,2019-01-21 23:21:02 +0200,
840ab87,Morad Taleeb,Reset password page layout,2019-01-21 23:11:28 +0200,
325acd9,Morad Taleeb,Send email page layout,2019-01-21 22:35:41 +0200,
dcc053d,Morad Taleeb,Login page layout,2019-01-21 22:19:41 +0200,
864eb7e,Morad Taleeb,Morad's initial commit,2019-01-21 21:11:21 +0200,
9806533,Abdullrahman ElHayek,datatable search,2019-01-06 17:34:27 +0200,
f3276d7,Abdullrahman ElHayek,datatable,2019-01-06 11:25:51 +0200,
5fe7ae8,Abdullrahman ElHayek,vizabi all possible,2018-12-29 15:04:10 +0200,
48637ba,Abdullrahman ElHayek,vizabi all possible,2018-12-29 14:00:23 +0200,
bc2595a,Abdullrahman ElHayek,vizabi on file,2018-12-25 16:39:35 +0200,
7bc66fd,Abdullrahman ElHayek,Plotly bubble2,2018-12-24 19:24:04 +0200,
40fa53d,Abdullrahman ElHayek,Plotly bubble,2018-12-20 13:04:33 +0200,
1b1d507,Abdullrahman ElHayek,Plotly bubble,2018-12-20 13:02:39 +0200,
2ffb08e,Abdullrahman ElHayek,Plotly bubble,2018-12-18 15:41:34 +0200,
43b89e1,Abdullrahman ElHayek,Plotly bubble,2018-12-18 13:50:10 +0200,
3e9ee8e,Abdullrahman ElHayek,Plotly Map,2018-12-10 19:44:11 +0200,
f4e2be7,Abdullrahman ElHayek,Plotly Map,2018-12-10 18:56:21 +0200,
b5b524d,ahayek,Plotly Map,2018-12-06 18:02:10 +0200,
bb668df,ahayek,Plotly Map,2018-12-04 22:03:51 +0200,
08acf7c,ahayek,Plotly Map,2018-12-04 16:58:30 +0200,
bbdb9b3,ahayek,Plotly Map,2018-12-04 13:17:05 +0200,
56e399d,ahayek,Plotly Map,2018-12-04 13:14:31 +0200,
f112182,ahayek,Plotly Map,2018-12-04 13:12:50 +0200,
5539c85,ahayek,Plotly Map,2018-12-04 13:00:59 +0200,
531016d,ahayek,Plotly Map,2018-12-04 12:27:28 +0200,
d6a8904,ahayek84,Lour Notes fix liberary,2018-11-29 19:40:15 +0200,
39e3d0a,ahayek84,Lour Notes fix liberary,2018-11-29 14:50:57 +0200,
35911f0,ahayek84,Lour Notes,2018-11-28 11:09:37 +0200,
73da883,ahayek84,Lour Notes,2018-11-27 17:22:42 +0200,
458ea7b,ahayek84,New files filtering and Search,2018-11-26 17:37:52 +0200,
3cc0542,ahayek84,New Datasets filtering and Search,2018-11-26 13:58:44 +0200,
1676f98,ahayek84,New Datasets filtering and Search,2018-11-26 11:50:44 +0200,
e54362e,ahayek84,Fixing Filtering for special characters and also adding Meun bar deocration,2018-11-22 18:29:43 +0200,
18896c0,ahayek84,Fixing Filtering for special characters and also adding Meun bar deocration,2018-11-21 19:45:13 +0200,
e52299f,ahayek84,Fixing Filtering for special characters and also adding Meun bar deocration,2018-11-21 19:36:18 +0200,
5bd330d,ahayek84,Fixing Filtering for special characters and also adding Meun bar deocration,2018-11-21 18:30:11 +0200,
6d41bcf,ahayek84,Fixing Filtering for special characters and also adding Meun bar deocration,2018-11-21 17:32:37 +0200,
77aab4b,ahayek84,Fixing Filtering for special characters and also adding Meun bar deocration,2018-11-21 17:11:37 +0200,
048f783,ahayek84,ChartJs Muti-Selection,2018-11-20 19:28:30 +0200,
dc0f0da,ahayek84,ChartJs Muti-Selection,2018-11-20 19:03:32 +0200,
f2ae9f8,ahayek84,Viz modifications for testing,2018-11-20 15:30:08 +0200,
704fad6,ahayek84,HighChart support for N-Dimentional Long and Wide data format,2018-11-18 21:04:37 +0200,
feca585,ahayek84,HighChart support for N-Dimentional Long and Wide data format,2018-11-18 21:01:46 +0200,
e0e6606,ahayek84,ChartJs support for N-Dimentional Long and Wide data format,2018-11-14 15:50:00 +0200,
196e769,ahayek84,fix messeage problem,2018-11-06 15:32:36 +0200,
26c1840,ahayek,Fix HighChart,2018-10-09 18:42:59 +0300,
4b96b6c,ahayek,Fix HighChart,2018-10-09 17:16:14 +0300,
3a97699,ahayek,Fix HighChart,2018-10-09 15:31:58 +0300,
225614e,ahayek,Fix HighChart,2018-10-08 18:32:50 +0300,
7921190,ahayek,Fix HighChart,2018-10-08 14:04:02 +0300,
2bfd04c,ahayek,Fix HighChart,2018-10-08 01:23:18 +0300,
be80194,ahayek,Fix HighChart,2018-10-07 19:50:21 +0300,
c233b7b,ahayek,Fix HighChart,2018-10-07 19:32:56 +0300,
f937107,ahayek,Fix HighChart,2018-10-07 19:28:55 +0300,
0a27478,ahayek,Fix HighChart,2018-10-07 19:17:39 +0300,
df5d8fb,ahayek,Fix HighChart,2018-10-07 18:40:53 +0300,
ca86ce5,ahayek,Fix HighChart,2018-10-07 18:34:26 +0300,
2156712,ahayek,Fix HighChart,2018-10-07 18:28:20 +0300,
1e6a129,ahayek,Fix HighChart,2018-10-07 18:24:15 +0300,
e66765f,ahayek,Fix HighChart,2018-10-07 18:19:44 +0300,
99dac3c,ahayek,Fix HighChart,2018-10-07 18:14:40 +0300,
21958cf,ahayek,Fix HighChart,2018-10-07 18:13:59 +0300,
73a2ac9,ahayek,Fix HighChart,2018-10-07 18:13:04 +0300,
d3517c5,ahayek,inspect error 500 .,2018-10-07 18:06:24 +0300,
f37b91d,ahayek,inspect error 500 .,2018-10-07 17:55:57 +0300,
d532a68,ahayek,unstash git ignore,2018-10-07 17:16:51 +0300,
9996a75,ahayek,restore data folder on server,2018-10-07 17:14:05 +0300,
b6e1e5c,ahayek,update web.php,2018-10-07 16:35:24 +0300,
4ae7c99,ahayek,Fix HighChart,2018-10-07 16:31:36 +0300,
52f84ab,ahayek,Fix HighChart,2018-10-07 16:26:50 +0300,
8b9ad10,ahayek,updates of routes,2018-10-04 16:03:47 +0300,
26e1d2d,ahayek,New components,2018-10-04 15:59:30 +0300,
c3e4578,ahayek,composer.lock incompabitble version between the repo and the production server,2018-10-04 15:14:23 +0300,
f8a8abf,ahayek,Database,2018-10-04 14:56:48 +0300,
b91e111,ahayek,ChartJsModified,2018-10-04 13:38:19 +0300,
6841369,ahayek,Update git ignore in order to isolate the production configuration from the development,2018-10-04 12:33:11 +0300,
ed7770f,ahayek,new test controller,2018-10-04 12:21:41 +0300,
a63008e,ahayek,Merge remote-tracking branch 'origin/master',2018-10-04 12:15:53 +0300,
742330e,ahayek,new test controller,2018-10-02 16:45:13 +0300,
a9c3f7e,ahayek,new test controller,2018-10-02 16:44:37 +0300,
721b488,ahayek,new test controller,2018-10-02 16:38:46 +0300,
2c817f5,Moad Amrani,minor tweaks,2018-08-27 20:46:34 +0100,
61ac346,Moad Amrani,spark installation tweaks,2018-08-15 15:39:19 +0100,
040fc20,Moad Amrani,app files,2018-08-15 00:22:05 +0100,
