Commit_ID,Commit_Developer,,Commit_Date,Day
4e46a2d,Abdullrahman ElHayek,fixing chartjs height problem,2019-03-05 14:18:28 +0200,
dd8a53a,Abdullrahman ElHayek,re,2019-03-05 13:29:14 +0200,
7143c9b,Abdullrahman ElHayek,fix : hight default value for the newly created datasets 400,2019-03-04 14:01:16 +0200,
cfb5359,Abdullrahman ElHayek,fix : hight default value for the newly created datasets,2019-03-04 13:53:39 +0200,
1f251b3,Abdullrahman ElHayek,fixing : I canï¿½ï¿½ï¿½t seem to delete a topic from ï¿½ï¿½ï¿½Generalï¿½ï¿½ï¿½ in a dataset. Is it an option? I chose Education and got the files related to that topic. Then I tried deleting it using the Backspace but,2019-03-04 13:11:45 +0200,
7aaad65,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-03 22:11:58 +0200,
88433b7,Morad Taleeb,general issues fixing - google doc feedback,2019-03-03 22:11:42 +0200,
79cd2a3,Abdullrahman ElHayek,fix number cleaning,2019-03-03 20:31:02 +0200,
b803c7e,abdullrahman yusuf elhayek,Merge pull request #1 from knafeh/monzer_initial,2019-03-03 19:28:35 +0200,
3ac579c,Monzer Hijazi,created readme with notes from experience and added variables to .env.example to be filled out by developer after creating local .env,3/3/2019 10:37,
e3e0eef,Abdullrahman ElHayek,fix topic selection based on chosen language,2019-03-03 17:07:59 +0200,
dae2cff,Abdullrahman ElHayek,fix file message language,2019-03-03 15:57:11 +0200,
4632ee4,Abdullrahman ElHayek,fix file message language,2019-03-03 14:42:34 +0200,
a6b9fce,Abdullrahman ElHayek,fix file message,2019-03-03 14:38:25 +0200,
a2e8dcc,Abdullrahman ElHayek,preserve the file name,2019-03-03 13:38:11 +0200,
2ec1da1,Abdullrahman ElHayek,fix message,2019-03-03 13:21:05 +0200,
e2eca80,Abdullrahman ElHayek,Highchart default,2019-03-03 12:58:34 +0200,
d339da9,Abdullrahman ElHayek,fix file delete rediction,2019-03-03 12:15:05 +0200,
0178dae,Abdullrahman ElHayek,fix query exception,2019-03-03 11:46:05 +0200,
9602123,Abdullrahman ElHayek,fix bubble chart tooltip,2019-03-03 11:26:10 +0200,
549e0f1,Morad Taleeb,fixed aggr options tree list style,2019-03-02 23:32:33 +0200,
b79d4d5,Morad Taleeb,fixed file edit + made upload file required,2019-03-02 23:15:10 +0200,
6c1eb54,Morad Taleeb,made file upload required field,2019-03-02 23:06:26 +0200,
4502d18,Morad Taleeb,upload only csv files,2019-03-02 22:57:47 +0200,
0667f33,Morad Taleeb,tried to name the downloaded file #fail,2019-03-02 22:47:35 +0200,
136b7f6,Morad Taleeb,removed unneeded chart types,2019-03-02 22:07:33 +0200,
9a8f83e,Morad Taleeb,removed bubble option from plotly library,2019-03-02 17:59:40 +0200,
a76874f,Morad Taleeb,Changed base selector label,2019-03-02 17:55:42 +0200,
d645ef5,Morad Taleeb,Changed charttype title to sub-title,2019-03-02 17:50:08 +0200,
403813,Morad Taleeb,fixed spelling,2019-03-02 17:44:47 +0200,
3646811,Morad Taleeb,removed point options on bar chart is selected,2019-03-02 17:32:41 +0200,
2af170a,Morad Taleeb,hid multiselect tooltip on hover,2019-03-02 17:12:49 +0200,
7956782,Morad Taleeb,showing dataset id in the title,2019-03-02 17:01:59 +0200,
a666c9c,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-03-02 16:28:39 +0200,
003bd17,Morad Taleeb,Fixed website shaking,2019-03-02 16:28:33 +0200,
259a759,Abdullrahman ElHayek,fix save capture or upload,2019-03-02 16:22:01 +0200,
c0404ea,Abdullrahman ElHayek,dom-to-image is added,2019-03-02 15:25:31 +0200,
e45d3da,Abdullrahman ElHayek,Saving captured image to the database,2019-03-02 14:14:07 +0200,
9e2149f,Abdullrahman ElHayek,fix saving topics for the files,2019-03-02 12:33:50 +0200,
2b41d34,Morad Taleeb,Translated files delete confirmation,2019-03-01 21:45:33 +0200,
034b3f6,Morad Taleeb,Html to canvas - tbc with abdo,2019-03-01 21:23:29 +0200,
528f456,Morad Taleeb,readded preview dataset button,2019-03-01 20:22:08 +0200,
36e51b8,Morad Taleeb,removed any from datasets languages,2019-03-01 19:58:52 +0200,
2801894,Morad Taleeb,commented console.log,2019-02-28 22:33:10 +0200,
d706738,Morad Taleeb,added operations to file data-table,2019-02-28 22:24:52 +0200,
12d77c9,Morad Taleeb,fixed files datatable + styled it,2019-02-28 22:03:34 +0200,
c1cc6a0,Morad Taleeb,fixing conflict,2019-02-28 21:01:36 +0200,
38fee72,Morad Taleeb,removed view toggle f frrom datasets,2019-02-28 20:52:13 +0200,
b02317d,Abdullrahman ElHayek,fix files tables,2019-02-28 15:58:05 +0200,
16ecab0,Abdullrahman ElHayek,fix files tables,2019-02-28 15:42:06 +0200,
02b00b7,Abdullrahman ElHayek,install html2canvas for the front end,2019-02-28 04:34:53 +0200,
7f5bdb5,Morad Taleeb,trying to fix data-table in file view! #fail,2019-02-27 22:58:21 +0200,
89ceb8a,Morad Taleeb,readded data format: long to the form,2019-02-27 22:40:56 +0200,
40a57d5,Morad Taleeb,fixed header secondary menu style,2019-02-27 21:52:58 +0200,
6890f6a,Morad Taleeb,Fixed files pagination,2019-02-27 21:35:17 +0200,
b12be09,Morad Taleeb,show 12 files in one page - I'll fix pagination tomorrow,2019-02-26 23:17:51 +0200,
14b3a07,Morad Taleeb,tried adding html2canvas it keeps giving error,2019-02-26 23:08:42 +0200,
b82560e,Morad Taleeb,fixed adding file,2019-02-26 21:29:12 +0200,
efefb62,Morad Taleeb,changed aggregation by label to filter by,2019-02-25 23:48:50 +0200,
dd40944,Morad Taleeb,fixed delete files + added warning on delete if file is linked to a dataset,2019-02-25 23:37:34 +0200,
24545f8,Morad Taleeb,fixed conflict,2019-02-25 22:31:04 +0200,
440896e,Morad Taleeb,trying on file table vieew,2019-02-25 22:28:26 +0200,
